Time of Day,Day of the week,Weekend,Total Vehicle Count,Car_Bus_Count,Car_Truck_Count,Bus_Truck_Count,Predicted Speed
11.75,3.193548387096774,0.3225806451612903,101.7258064516129,551.016129032258,1102.0,194.3709677419355,75.852394
12.0,3.193548387096774,0.3225806451612903,104.95161290322581,623.8064516129032,1247.5967741935483,176.58064516129033,69.73338
12.25,3.193548387096774,0.3225806451612903,105.53225806451613,633.6774193548387,1275.8064516129032,190.70967741935485,66.71958
12.5,3.193548387096774,0.3225806451612903,101.08064516129032,660.741935483871,1079.1612903225807,203.53225806451613,76.0921
12.75,3.193548387096774,0.3225806451612903,100.06451612903226,594.5483870967741,1099.1612903225807,199.4516129032258,80.0148
13.0,3.193548387096774,0.3225806451612903,103.0,802.4677419354839,967.6935483870968,232.46774193548387,71.51118
13.25,3.193548387096774,0.3225806451612903,118.59677419354838,1187.774193548387,869.8387096774194,307.01612903225805,58.80067
13.5,3.193548387096774,0.3225806451612903,122.35483870967742,1325.225806451613,909.741935483871,278.9516129032258,59.08485
13.75,3.193548387096774,0.3225806451612903,129.7741935483871,1572.0,972.3870967741935,299.6290322580645,64.62184
14.0,3.193548387096774,0.3225806451612903,120.95161290322581,1246.5967741935483,866.9677419354839,273.8225806451613,61.46858
14.25,3.193548387096774,0.3225806451612903,118.85483870967742,1238.1612903225807,819.9032258064516,302.5483870967742,57.965153
14.5,3.193548387096774,0.3225806451612903,122.37096774193549,1321.5,883.483870967742,274.2903225806452,59.78237
14.75,3.193548387096774,0.3225806451612903,121.7741935483871,1370.5,860.9677419354839,268.03225806451616,59.40377
15.0,3.193548387096774,0.3225806451612903,112.61290322580645,1127.9516129032259,808.8064516129032,249.67741935483872,61.759193
15.25,3.193548387096774,0.3225806451612903,115.45161290322581,1274.4354838709678,901.2741935483871,273.33870967741933,61.911358
15.5,3.193548387096774,0.3225806451612903,106.64516129032258,1011.5322580645161,880.1774193548387,253.24193548387098,71.5947
15.75,3.193548387096774,0.3225806451612903,140.4516129032258,1810.241935483871,1231.1129032258063,249.2258064516129,62.58127
16.0,3.193548387096774,0.3225806451612903,180.01612903225808,3640.6290322580644,1256.9516129032259,296.7903225806452,22.892033
16.25,3.193548387096774,0.3225806451612903,175.8548387096774,3438.467741935484,1264.483870967742,290.53225806451616,22.892033
16.5,3.193548387096774,0.3225806451612903,175.3709677419355,3345.7258064516127,1268.3870967741937,290.96774193548384,23.365723
16.75,3.193548387096774,0.3225806451612903,178.01612903225808,3454.8709677419356,1273.8870967741937,279.56451612903226,23.709887
17.0,3.193548387096774,0.3225806451612903,174.96774193548387,3236.6290322580644,1327.1129032258063,278.83870967741933,24.302065
17.25,3.193548387096774,0.3225806451612903,175.03225806451613,3113.0806451612902,1313.3870967741937,267.88709677419354,24.665134
17.5,3.193548387096774,0.3225806451612903,174.83870967741936,3083.983870967742,1319.6774193548388,271.33870967741933,24.739325
17.75,3.193548387096774,0.3225806451612903,178.91935483870967,3392.5967741935483,1322.3548387096773,282.56451612903226,23.459042
18.0,3.193548387096774,0.3225806451612903,177.32258064516128,3395.6935483870966,1328.258064516129,296.64516129032256,24.170929
18.25,3.193548387096774,0.3225806451612903,172.98387096774192,3290.6774193548385,1269.8709677419354,280.93548387096774,23.919472
18.5,3.193548387096774,0.3225806451612903,154.40322580645162,2505.2741935483873,1273.225806451613,239.29032258064515,73.12264
18.75,3.193548387096774,0.3225806451612903,128.1451612903226,1045.4032258064517,1670.5483870967741,271.69354838709677,72.58954
19.0,3.193548387096774,0.3225806451612903,126.41935483870968,1082.4193548387098,1727.5645161290322,279.7741935483871,72.38071
19.25,3.193548387096774,0.3225806451612903,115.83870967741936,892.1290322580645,1497.0483870967741,247.01612903225808,67.90677
19.5,3.193548387096774,0.3225806451612903,119.98387096774194,909.8225806451613,1531.4193548387098,225.59677419354838,65.37442
19.75,3.193548387096774,0.3225806451612903,116.98387096774194,931.3064516129032,1562.8387096774193,271.9032258064516,67.42533
20.0,3.193548387096774,0.3225806451612903,118.95161290322581,947.7741935483871,1604.741935483871,257.0806451612903,65.55947
20.25,3.193548387096774,0.3225806451612903,118.75806451612904,1015.983870967742,1408.0967741935483,234.88709677419354,65.87682
20.5,3.193548387096774,0.3225806451612903,117.87096774193549,992.8387096774194,1533.016129032258,281.03225806451616,64.681465
20.75,3.193548387096774,0.3225806451612903,119.48387096774194,999.983870967742,1531.6290322580646,253.91935483870967,63.34019
21.0,3.193548387096774,0.3225806451612903,118.98387096774194,958.0483870967741,1552.8548387096773,250.74193548387098,63.00092
21.25,3.193548387096774,0.3225806451612903,119.19354838709677,895.4516129032259,1588.274193548387,234.11290322580646,67.22072
21.5,3.193548387096774,0.3225806451612903,120.46774193548387,974.2258064516129,1675.032258064516,264.1774193548387,68.933334
21.75,3.193548387096774,0.3225806451612903,83.51612903225806,534.3225806451613,1040.5645161290322,156.82258064516128,78.3169
22.0,3.193548387096774,0.3225806451612903,42.17741935483871,5.887096774193548,322.51612903225805,14.290322580645162,83.25831
22.25,3.193548387096774,0.3225806451612903,43.064516129032256,9.274193548387096,346.85483870967744,25.387096774193548,69.93663
22.5,3.193548387096774,0.3225806451612903,42.225806451612904,7.048387096774194,337.741935483871,15.403225806451612,79.376076
22.75,3.193548387096774,0.3225806451612903,42.88709677419355,9.53225806451613,338.80645161290323,23.741935483870968,71.06147
23.0,3.193548387096774,0.3225806451612903,43.25806451612903,8.161290322580646,348.43548387096774,21.451612903225808,71.957726
23.25,3.193548387096774,0.3225806451612903,41.064516129032256,9.290322580645162,315.1774193548387,21.322580645161292,73.78295
23.5,3.193548387096774,0.3225806451612903,43.225806451612904,8.903225806451612,336.16129032258067,23.612903225806452,74.52617
23.75,3.193548387096774,0.3225806451612903,41.53225806451613,9.887096774193548,330.9032258064516,25.338709677419356,79.56013
