Iteration,Total_delivery_times_tsp,Total_delivery_times_cluster,Total_delivery_times_optimize,Total_travel_times_tsp,Total_travel_times_cluster,Total_travel_times_optimize,Total_truck_times_tsp,Total_truck_times_cluster,Total_truck_times_optimize,Total_drone_times_cluster,Total_drone_times_optimize
19,6.785221797240238,3.2584274002965445,3.145884504210792,2.535221797240238,2.675094066963211,2.562551170877459,2.535221797240238,1.2556987325433406,1.0769099869201506,1.4193953344198704,1.4856411839573085
20,6.818393383570073,3.563640723906497,3.4023014739511286,2.568393383570073,2.813640723906497,2.6523014739511286,2.568393383570073,1.4459001696167195,1.1162468302172917,1.3677405542897771,1.536054643733837
21,6.5751256468272254,3.1513122589856986,2.9954924943027734,2.3251256468272254,2.5679789256523655,2.4121591609694404,2.3251256468272254,1.2429672348739993,1.041187912195135,1.3250116907783662,1.3709712487743055
22,6.761460169226746,3.3731280484107034,3.2572170386923647,2.511460169226746,2.7897947150773703,2.673883705359031,2.511460169226746,1.4305634163015748,1.3735734129293848,1.3592312987757955,1.3003102924296464
23,6.708337285252897,3.0868522013145974,2.8538782443443105,2.4583372852528975,2.5868522013145974,2.3538782443443105,2.4583372852528975,1.2558660578024115,1.0546427214986311,1.3309861435121857,1.2992355228456793
24,6.52608538306956,2.7994581589406042,2.5697250218383556,2.2760853830695607,2.3827914922739377,2.153058355171689,2.2760853830695607,1.1173606613906677,0.8866206637148353,1.26543083088327,1.2664376914568538
25,6.5097100406058885,2.8685234223156706,2.6954136795701724,2.259710040605889,2.451856755649004,2.278747012903506,2.259710040605889,1.0846733507948205,1.0431403670749488,1.3671834048541838,1.235606645828557
26,6.6924160219840925,3.2935316640840675,3.0545663104415253,2.4424160219840925,2.710198330750734,2.4712329771081922,2.4424160219840925,1.3684098350131502,1.1388961541479614,1.3417884957375839,1.332336822960231
27,6.712714528931078,3.3876557421689553,3.1546880516001616,2.4627145289310777,2.804322408835622,2.5713547182668286,2.4627145289310777,1.2977787835934043,1.1212355033739245,1.5065436252422175,1.450119214892904
28,6.398330966364751,2.870179950237157,2.5694602913605635,2.148330966364752,2.370179950237157,2.0694602913605635,2.148330966364752,1.1666925897362181,0.918267862731367,1.203487360500939,1.1511924286291964
29,6.59325002730319,3.2398757615603775,3.1632461312528792,2.3432500273031907,2.573209094893711,2.4965794645862127,2.3432500273031907,1.2254303887178613,1.1820727348512448,1.3477787061758495,1.314506729734968
30,6.525180950597767,3.3258123704191824,3.2584319845159477,2.2751809505977674,2.5758123704191824,2.5084319845159477,2.2751809505977674,1.2783074059864434,1.1507153045012615,1.2975049644327388,1.3577166800146863
